scene,plan,variant,setting,model,run_name,ours_40000.PSNR,ours_40000.SSIM,ours_40000.LPIPS
405841,planA,colmap_96,planA_colmap_96,3dgs,default_40k_eval2k,31.4174747467041,0.9306495785713196,0.1247982606291771
405841,planA,colmap_96,planA_colmap_96,scaffold,final_40k_eval2k,31.73019218444824,0.9314331412315368,0.1242642775177955
405841,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,32.770301818847656,0.9377030730247498,0.1258290112018585
405841,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,32.0613899230957,0.9339097738265992,0.1353618204593658
405841,planB,vggt_96,planB_vggt_96,3dgs,default_40k_eval2k,30.603487014770508,0.9258737564086914,0.128765657544136
405841,planB,vggt_96,planB_vggt_96,scaffold,final_40k_eval2k,31.054298400878903,0.9255929589271544,0.1287841349840164
DL3DV-2,planA,colmap_96,planA_colmap_96,3dgs,default_40k_eval2k,31.171646118164062,0.9413462281227112,0.0954074263572692
DL3DV-2,planA,colmap_96,planA_colmap_96,scaffold,final_40k_eval2k,34.50406265258789,0.963632881641388,0.0666867271065712
DL3DV-2,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,34.76057815551758,0.9657483100891112,0.0677858740091323
DL3DV-2,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,36.18194580078125,0.971939206123352,0.0563631653785705
DL3DV-2,planB,vggt_96,planB_vggt_96,3dgs,default_40k_eval2k,27.39421844482422,0.8659761548042297,0.1574184745550155
DL3DV-2,planB,vggt_96,planB_vggt_96,scaffold,final_40k_eval2k,26.825485229492188,0.8684797286987305,0.163650557398796
Re10k-1,planA,colmap_96,planA_colmap_96,3dgs,default_40k_eval2k,33.448448181152344,0.9683921933174132,0.052439521998167
Re10k-1,planA,colmap_96,planA_colmap_96,scaffold,final_40k_eval2k,33.90269470214844,0.971856415271759,0.0484789498150348
Re10k-1,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,35.16493225097656,0.9775859117507936,0.0424143299460411
Re10k-1,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,34.86205291748047,0.9769328236579896,0.0438468493521213
Re10k-1,planB,vggt_96,planB_vggt_96,3dgs,default_40k_eval2k,31.77071189880371,0.9610708355903624,0.0583338141441345
Re10k-1,planB,vggt_96,planB_vggt_96,scaffold,final_40k_eval2k,32.030757904052734,0.9616454243659972,0.0566107630729675
