dataset,run_name,run_key,analysis_key,test_output_label,test_protocol,test_metrics_file,test_variant_rank,ate_compared_pose_pairs,ate_rmse,ate_mean,ate_median,ate_std,ate_min,ate_max,ate_compare_scope,ate_compare_note
405841,reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1__test-sampled,sampled,sampled_test,eval_test.json,1,20.0,18.983081879828354,16.437941279561347,16.51174424057016,9.494813539294011,1.6384301100602578,39.29608143723055,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
405841,reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1__test-all_non_train_subset_v1,all_non_train_subset_v1,tagged,eval_test_all_non_train_subset_v1.json,2,20.0,18.983081879828354,16.437941279561347,16.51174424057016,9.494813539294011,1.6384301100602578,39.29608143723055,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10__test-sampled,sampled,sampled_test,eval_test.json,1,10.0,2.3779371423718674,1.990844217695073,1.4313194452510745,1.3004323719216522,1.0862434488630492,5.3152239765571965,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10__test-all_non_train_subset_v1,all_non_train_subset_v1,tagged,eval_test_all_non_train_subset_v1.json,2,10.0,2.3779371423718674,1.990844217695073,1.4313194452510745,1.3004323719216522,1.0862434488630492,5.3152239765571965,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1__test-sampled,sampled,sampled_test,eval_test.json,1,10.0,2.30841344291814,1.9680230353527217,1.4314364183000197,1.206506508795639,1.0992205666285009,4.987842081649144,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit__test-sampled,sampled,sampled_test,eval_test.json,1,10.0,2.448269509201322,2.1355535116083395,1.891122855128367,1.197261370270573,0.8721324589337679,5.146032385595033,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_re10k-ckpt_sr30_nv8,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8__test-sampled,sampled,sampled_test,eval_test.json,1,8.0,2.325984345867509,1.9373543404863307,1.6262766394906683,1.2871912587566303,0.5519328379412075,4.996961531706842,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
re10k_1,reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check__test-sampled,sampled,sampled_test,eval_test.json,1,9.0,0.008739328116729311,0.008313993068246614,0.00917311355199114,0.0026932090882444966,0.0023803396116273963,0.011125264779036428,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
re10k_1,reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check__test-all_non_train_subset_v1,all_non_train_subset_v1,tagged,eval_test_all_non_train_subset_v1.json,2,9.0,0.008739328116729311,0.008313993068246614,0.00917311355199114,0.0026932090882444966,0.0023803396116273963,0.011125264779036428,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
re10k_1,reggs_re10k1_sr30_nv8,re10k_1__reggs_re10k1_sr30_nv8,re10k_1__reggs_re10k1_sr30_nv8__test-sampled,sampled,sampled_test,eval_test.json,1,8.0,0.010643007092227078,0.009655477660000251,0.009389103285508994,0.004477203493524938,0.0019742188094032404,0.017910025686922154,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
